SeriesId,Month,Day,BibleReading,PrimaryBookPageRange,PrimaryBookPageStart,PrimaryBookPageEnd,SecondaryBookPageRange,SecondaryBookPageStart,SecondaryBookPageEnd,SortOrder,FullTextPrimary,FullTextSecondary,SummaryPoints
2,1,19,Acts 7:13,Acts of the Apostles pp. 94-99,94,99,The Great Controversy pp. 273-275,273,275,119,Sample text from Acts of the Apostles pages 94-99. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 273-275.,"- Reading covers Acts of the Apostles pages 94-99
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,20,Acts 25:14,Acts of the Apostles pp. 100-103,100,103,The Great Controversy pp. 290-292,290,292,120,Sample text from Acts of the Apostles pages 100-103. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 290-292.,"- Reading covers Acts of the Apostles pages 100-103
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,21,Acts 2:7,Acts of the Apostles pp. 104-108,104,108,The Great Controversy pp. 567-570,567,570,121,Sample text from Acts of the Apostles pages 104-108. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 567-570.,"- Reading covers Acts of the Apostles pages 104-108
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,22,Acts 2:9,Acts of the Apostles pp. 109-114,109,114,The Great Controversy pp. 593-596,593,596,122,Sample text from Acts of the Apostles pages 109-114. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 593-596.,"- Reading covers Acts of the Apostles pages 109-114
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,23,Acts 7:13,Acts of the Apostles pp. 115-119,115,119,The Great Controversy pp. 524-527,524,527,123,Sample text from Acts of the Apostles pages 115-119. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 524-527.,"- Reading covers Acts of the Apostles pages 115-119
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,24,Acts 8:14,Acts of the Apostles pp. 120-124,120,124,The Great Controversy pp. 339-342,339,342,124,Sample text from Acts of the Apostles pages 120-124. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 339-342.,"- Reading covers Acts of the Apostles pages 120-124
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,25,Acts 20:10,Acts of the Apostles pp. 125-130,125,130,The Great Controversy pp. 182-185,182,185,125,Sample text from Acts of the Apostles pages 125-130. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 182-185.,"- Reading covers Acts of the Apostles pages 125-130
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,26,Acts 9:4,Acts of the Apostles pp. 131-135,131,135,The Great Controversy pp. 139-142,139,142,126,Sample text from Acts of the Apostles pages 131-135. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 139-142.,"- Reading covers Acts of the Apostles pages 131-135
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,27,Acts 10:8,Acts of the Apostles pp. 136-141,136,141,The Great Controversy pp. 415-418,415,418,127,Sample text from Acts of the Apostles pages 136-141. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 415-418.,"- Reading covers Acts of the Apostles pages 136-141
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,28,Acts 23:15,Acts of the Apostles pp. 142-147,142,147,The Great Controversy pp. 504-506,504,506,128,Sample text from Acts of the Apostles pages 142-147. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 504-506.,"- Reading covers Acts of the Apostles pages 142-147
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,29,Acts 13:7,Acts of the Apostles pp. 148-151,148,151,The Great Controversy pp. 461-464,461,464,129,Sample text from Acts of the Apostles pages 148-151. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 461-464.,"- Reading covers Acts of the Apostles pages 148-151
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,30,Acts 16:18,Acts of the Apostles pp. 152-156,152,156,The Great Controversy pp. 621-624,621,624,130,Sample text from Acts of the Apostles pages 152-156. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 621-624.,"- Reading covers Acts of the Apostles pages 152-156
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,31,Acts 6:5,Acts of the Apostles pp. 157-162,157,162,The Great Controversy pp. 443-445,443,445,131,Sample text from Acts of the Apostles pages 157-162. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 443-445.,"- Reading covers Acts of the Apostles pages 157-162
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,1,Acts 15:2,Acts of the Apostles pp. 163-168,163,168,The Great Controversy pp. 37-40,37,40,201,Sample text from Acts of the Apostles pages 163-168. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 37-40.,"- Reading covers Acts of the Apostles pages 163-168
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,2,Acts 25:5,Acts of the Apostles pp. 169-173,169,173,The Great Controversy pp. 674-677,674,677,202,Sample text from Acts of the Apostles pages 169-173. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 674-677.,"- Reading covers Acts of the Apostles pages 169-173
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,3,Acts 23:2,Acts of the Apostles pp. 174-177,174,177,The Great Controversy pp. 27-30,27,30,203,Sample text from Acts of the Apostles pages 174-177. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 27-30.,"- Reading covers Acts of the Apostles pages 174-177
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,4,Acts 14:1,Acts of the Apostles pp. 178-182,178,182,The Great Controversy pp. 83-86,83,86,204,Sample text from Acts of the Apostles pages 178-182. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 83-86.,"- Reading covers Acts of the Apostles pages 178-182
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,5,Acts 10:17,Acts of the Apostles pp. 183-187,183,187,The Great Controversy pp. 496-498,496,498,205,Sample text from Acts of the Apostles pages 183-187. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 496-498.,"- Reading covers Acts of the Apostles pages 183-187
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,6,Acts 11:6,Acts of the Apostles pp. 188-193,188,193,The Great Controversy pp. 173-175,173,175,206,Sample text from Acts of the Apostles pages 188-193. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 173-175.,"- Reading covers Acts of the Apostles pages 188-193
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,7,Acts 3:15,Acts of the Apostles pp. 194-199,194,199,The Great Controversy pp. 207-210,207,210,207,Sample text from Acts of the Apostles pages 194-199. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 207-210.,"- Reading covers Acts of the Apostles pages 194-199
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,8,Acts 22:14,Acts of the Apostles pp. 200-203,200,203,The Great Controversy pp. 117-120,117,120,208,Sample text from Acts of the Apostles pages 200-203. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 117-120.,"- Reading covers Acts of the Apostles pages 200-203
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,9,Acts 7:8,Acts of the Apostles pp. 204-207,204,207,The Great Controversy pp. 532-535,532,535,209,Sample text from Acts of the Apostles pages 204-207. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 532-535.,"- Reading covers Acts of the Apostles pages 204-207
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,10,Acts 14:17,Acts of the Apostles pp. 208-213,208,213,The Great Controversy pp. 93-95,93,95,210,Sample text from Acts of the Apostles pages 208-213. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 93-95.,"- Reading covers Acts of the Apostles pages 208-213
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,11,Acts 5:3,Acts of the Apostles pp. 214-218,214,218,The Great Controversy pp. 62-65,62,65,211,Sample text from Acts of the Apostles pages 214-218. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 62-65.,"- Reading covers Acts of the Apostles pages 214-218
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,12,Acts 18:7,Acts of the Apostles pp. 219-223,219,223,The Great Controversy pp. 579-582,579,582,212,Sample text from Acts of the Apostles pages 219-223. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 579-582.,"- Reading covers Acts of the Apostles pages 219-223
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,13,Acts 18:19,Acts of the Apostles pp. 224-229,224,229,The Great Controversy pp. 668-670,668,670,213,Sample text from Acts of the Apostles pages 224-229. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 668-670.,"- Reading covers Acts of the Apostles pages 224-229
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,14,Acts 2:15,Acts of the Apostles pp. 230-235,230,235,The Great Controversy pp. 164-167,164,167,214,Sample text from Acts of the Apostles pages 230-235. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 164-167.,"- Reading covers Acts of the Apostles pages 230-235
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,15,Acts 22:17,Acts of the Apostles pp. 236-241,236,241,The Great Controversy pp. 92-94,92,94,215,Sample text from Acts of the Apostles pages 236-241. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 92-94.,"- Reading covers Acts of the Apostles pages 236-241
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,16,Acts 27:3,Acts of the Apostles pp. 242-245,242,245,The Great Controversy pp. 118-121,118,121,216,Sample text from Acts of the Apostles pages 242-245. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 118-121.,"- Reading covers Acts of the Apostles pages 242-245
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,17,Acts 15:3,Acts of the Apostles pp. 246-249,246,249,The Great Controversy pp. 656-659,656,659,217,Sample text from Acts of the Apostles pages 246-249. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 656-659.,"- Reading covers Acts of the Apostles pages 246-249
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,18,Acts 27:14,Acts of the Apostles pp. 250-254,250,254,The Great Controversy pp. 283-285,283,285,218,Sample text from Acts of the Apostles pages 250-254. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 283-285.,"- Reading covers Acts of the Apostles pages 250-254
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,19,Acts 12:18,Acts of the Apostles pp. 255-259,255,259,The Great Controversy pp. 256-258,256,258,219,Sample text from Acts of the Apostles pages 255-259. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 256-258.,"- Reading covers Acts of the Apostles pages 255-259
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,20,Acts 7:9,Acts of the Apostles pp. 260-265,260,265,The Great Controversy pp. 388-391,388,391,220,Sample text from Acts of the Apostles pages 260-265. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 388-391.,"- Reading covers Acts of the Apostles pages 260-265
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,21,Acts 20:13,Acts of the Apostles pp. 266-270,266,270,The Great Controversy pp. 421-423,421,423,221,Sample text from Acts of the Apostles pages 266-270. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 421-423.,"- Reading covers Acts of the Apostles pages 266-270
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,22,Acts 10:19,Acts of the Apostles pp. 271-275,271,275,The Great Controversy pp. 607-610,607,610,222,Sample text from Acts of the Apostles pages 271-275. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 607-610.,"- Reading covers Acts of the Apostles pages 271-275
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,23,Acts 15:4,Acts of the Apostles pp. 276-280,276,280,The Great Controversy pp. 213-216,213,216,223,Sample text from Acts of the Apostles pages 276-280. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 213-216.,"- Reading covers Acts of the Apostles pages 276-280
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,24,Acts 14:2,Acts of the Apostles pp. 281-285,281,285,The Great Controversy pp. 214-217,214,217,224,Sample text from Acts of the Apostles pages 281-285. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 214-217.,"- Reading covers Acts of the Apostles pages 281-285
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,25,Acts 10:8,Acts of the Apostles pp. 286-291,286,291,The Great Controversy pp. 682-685,682,685,225,Sample text from Acts of the Apostles pages 286-291. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 682-685.,"- Reading covers Acts of the Apostles pages 286-291
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,26,Acts 25:10,Acts of the Apostles pp. 292-296,292,296,The Great Controversy pp. 88-91,88,91,226,Sample text from Acts of the Apostles pages 292-296. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 88-91.,"- Reading covers Acts of the Apostles pages 292-296
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,27,Acts 15:11,Acts of the Apostles pp. 297-302,297,302,The Great Controversy pp. 378-381,378,381,227,Sample text from Acts of the Apostles pages 297-302. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 378-381.,"- Reading covers Acts of the Apostles pages 297-302
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,28,Acts 25:11,Acts of the Apostles pp. 303-307,303,307,The Great Controversy pp. 339-341,339,341,228,Sample text from Acts of the Apostles pages 303-307. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 339-341.,"- Reading covers Acts of the Apostles pages 303-307
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,2,29,Acts 27:16,Acts of the Apostles pp. 308-311,308,311,The Great Controversy pp. 479-482,479,482,229,Sample text from Acts of the Apostles pages 308-311. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 479-482.,"- Reading covers Acts of the Apostles pages 308-311
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,1,Acts 7:12,Acts of the Apostles pp. 312-315,312,315,The Great Controversy pp. 561-564,561,564,301,Sample text from Acts of the Apostles pages 312-315. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 561-564.,"- Reading covers Acts of the Apostles pages 312-315
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,2,Acts 6:3,Acts of the Apostles pp. 316-319,316,319,The Great Controversy pp. 603-606,603,606,302,Sample text from Acts of the Apostles pages 316-319. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 603-606.,"- Reading covers Acts of the Apostles pages 316-319
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,3,Acts 10:13,Acts of the Apostles pp. 320-323,320,323,The Great Controversy pp. 445-447,445,447,303,Sample text from Acts of the Apostles pages 320-323. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 445-447.,"- Reading covers Acts of the Apostles pages 320-323
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,4,Acts 24:17,Acts of the Apostles pp. 324-329,324,329,The Great Controversy pp. 234-237,234,237,304,Sample text from Acts of the Apostles pages 324-329. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 234-237.,"- Reading covers Acts of the Apostles pages 324-329
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,5,Acts 27:13,Acts of the Apostles pp. 330-333,330,333,The Great Controversy pp. 308-310,308,310,305,Sample text from Acts of the Apostles pages 330-333. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 308-310.,"- Reading covers Acts of the Apostles pages 330-333
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,6,Acts 26:11,Acts of the Apostles pp. 334-338,334,338,The Great Controversy pp. 154-157,154,157,306,Sample text from Acts of the Apostles pages 334-338. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 154-157.,"- Reading covers Acts of the Apostles pages 334-338
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,7,Acts 15:14,Acts of the Apostles pp. 339-344,339,344,The Great Controversy pp. 207-210,207,210,307,Sample text from Acts of the Apostles pages 339-344. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 207-210.,"- Reading covers Acts of the Apostles pages 339-344
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,8,Acts 9:13,Acts of the Apostles pp. 345-348,345,348,The Great Controversy pp. 398-400,398,400,308,Sample text from Acts of the Apostles pages 345-348. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 398-400.,"- Reading covers Acts of the Apostles pages 345-348
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,9,Acts 11:14,Acts of the Apostles pp. 349-354,349,354,The Great Controversy pp. 598-601,598,601,309,Sample text from Acts of the Apostles pages 349-354. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 598-601.,"- Reading covers Acts of the Apostles pages 349-354
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,10,Acts 7:18,Acts of the Apostles pp. 355-358,355,358,The Great Controversy pp. 317-319,317,319,310,Sample text from Acts of the Apostles pages 355-358. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 317-319.,"- Reading covers Acts of the Apostles pages 355-358
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,11,Acts 3:10,Acts of the Apostles pp. 359-362,359,362,The Great Controversy pp. 624-627,624,627,311,Sample text from Acts of the Apostles pages 359-362. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 624-627.,"- Reading covers Acts of the Apostles pages 359-362
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,12,Acts 17:3,Acts of the Apostles pp. 363-366,363,366,The Great Controversy pp. 513-515,513,515,312,Sample text from Acts of the Apostles pages 363-366. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 513-515.,"- Reading covers Acts of the Apostles pages 363-366
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,13,Acts 17:18,Acts of the Apostles pp. 367-370,367,370,The Great Controversy pp. 244-247,244,247,313,Sample text from Acts of the Apostles pages 367-370. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 244-247.,"- Reading covers Acts of the Apostles pages 367-370
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,14,Acts 19:7,Acts of the Apostles pp. 371-376,371,376,The Great Controversy pp. 481-484,481,484,314,Sample text from Acts of the Apostles pages 371-376. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 481-484.,"- Reading covers Acts of the Apostles pages 371-376
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,15,Acts 5:6,Acts of the Apostles pp. 377-381,377,381,The Great Controversy pp. 693-695,693,695,315,Sample text from Acts of the Apostles pages 377-381. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 693-695.,"- Reading covers Acts of the Apostles pages 377-381
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,16,Acts 9:15,Acts of the Apostles pp. 382-386,382,386,The Great Controversy pp. 616-619,616,619,316,Sample text from Acts of the Apostles pages 382-386. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 616-619.,"- Reading covers Acts of the Apostles pages 382-386
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,17,Acts 2:3,Acts of the Apostles pp. 387-390,387,390,The Great Controversy pp. 561-563,561,563,317,Sample text from Acts of the Apostles pages 387-390. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 561-563.,"- Reading covers Acts of the Apostles pages 387-390
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,18,Acts 1:16,Acts of the Apostles pp. 391-396,391,396,The Great Controversy pp. 466-469,466,469,318,Sample text from Acts of the Apostles pages 391-396. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 466-469.,"- Reading covers Acts of the Apostles pages 391-396
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,19,Acts 5:18,Acts of the Apostles pp. 397-401,397,401,The Great Controversy pp. 395-397,395,397,319,Sample text from Acts of the Apostles pages 397-401. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 395-397.,"- Reading covers Acts of the Apostles pages 397-401
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,20,Acts 13:7,Acts of the Apostles pp. 402-405,402,405,The Great Controversy pp. 97-100,97,100,320,Sample text from Acts of the Apostles pages 402-405. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 97-100.,"- Reading covers Acts of the Apostles pages 402-405
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,21,Acts 24:5,Acts of the Apostles pp. 406-410,406,410,The Great Controversy pp. 413-415,413,415,321,Sample text from Acts of the Apostles pages 406-410. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 413-415.,"- Reading covers Acts of the Apostles pages 406-410
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,22,Acts 22:10,Acts of the Apostles pp. 411-414,411,414,The Great Controversy pp. 584-587,584,587,322,Sample text from Acts of the Apostles pages 411-414. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 584-587.,"- Reading covers Acts of the Apostles pages 411-414
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,3,23,Acts 23:6,Acts of the Apostles pp. 415-420,415,420,The Great Controversy pp. 555-558,555,558,323,Sample text from Acts of the Apostles pages 415-420. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 555-558.,"- Reading covers Acts of the Apostles pages 415-420
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
